year,state,measure,topic,yes_pct,no_pct,outcome
2024,Legislature,Failed,Measure 2,"Establish a single-subject rule for initiatives (both statutory and constitutional), as determined b",Nov 5,Failed
2024,Legislature,Approved,Measure 3,"Decrease the amount of money that can be expended from the state legacy fund, a fund that receives 3",Nov 5,Approved
2024,Citizens,Failed,Measure 4,Prohibit the state and local governments from levying taxes on the assessed value of any real or per,Nov 5,Failed
2024,Citizens,Failed,Measure 5,"Legalize recreational marijuana , allowing individuals to possess up to 1 oz of marijuana, 4g of con",Nov 5,Failed
2024,Ohio,Citizens,Failed,Issue 1,"Establish the Ohio Citizens Redistricting Commission (CRC), a 15-member non-politician commission re",Failed
2024,Oklahoma,Legislature,Failed,Question 833,Allows municipalities to create infrastructure districts with the ability to issue bonds,Failed
2024,Legislature,Approved,Question 834,Prohibits the state and local governments from allowing noncitizens to vote,Nov 5,Approved
2024,Oregon,Legislature,Approved,Measure 115,"Allow the Oregon State Legislature to impeach and remove elected state executives, including the gov",Approved
2024,Legislature,Failed,Measure 116,Establish the Independent Public Service Compensation Commission to determine certain public officia,Nov 5,Failed
2024,Legislature,Failed,Measure 117,Establish ranked-choice voting for federal and state offices in Oregon,Nov 5,Failed
2024,Citizens,Failed,Measure 118,"Increase the corporate minimum tax on sales exceeding $25 million by 3%, removing the minimum tax ca",Nov 5,Failed
2024,Citizens,Approved,Measure 119,Require cannabis businesses to submit to the Oregon Liquor and Cannabis Commission a signed labor pe,Nov 5,Approved
2024,Rhode Island,Legislature,Failed,Question 1,Hold a state constitutional convention,Failed
2024,Bond Issue,Approved,Question 2,"Issue $160.5 million in bonds for improvements to higher education facilities, with $87.5 million go",Nov 5,Approved
2024,Bond Issue,Approved,Question 3,Issue $120 million in bonds to increase the availability of housing in the state.,Nov 5,Approved
2024,Bond Issue,Approved,Question 4,"Issue $53 million in bonds for environmental-related infrastructure, local recreation projects, and ",Nov 5,Approved
2024,Bond Issue,Approved,Question 4,Issue $10 million in bonds for funding for 1:1 matching grants to continue the Cultural Arts and Eco,Nov 5,Approved
2024,South Carolina,Legislature,Approved,Amendment 1,Prohibits the state and local governments from allowing noncitizens to vote.,Approved
2024,South Dakota,Legislature,Failed,Amendment E,Amend the text of the South Dakota Constitution to change male pronouns to gender-neutral terms or t,Failed
2024,Legislature,Approved,Amendment F,Amend the South Dakota Constitution to provide that the state may impose a work requirement on eligi,Nov 5,Approved
2024,Citizens,Failed,Amendment G,"Enshrines abortion during the first trimester, with limits on regulation during the second trimester",Nov 5,Failed
2024,Citizens,Failed,Amendment H,"Establish top-two primaries for federal, state, and certain local offices in South Dakota",Nov 5,Failed
2024,Citizens,Failed,Measure 28,"Prohibit state sales taxes on anything sold for human consumption, not including alcoholic beverages",Nov 5,Failed
2024,Citizens,Failed,Measure 29,"Legalize the recreational use, possession, and distribution of marijuana .",Nov 5,Failed
2024,Veto Referendum,Failed,South Dakota Referred Law 21,"Uphold Senate Bill 201, which provides statutory requirements for regulating carbon dioxide pipeline",Nov 5,Failed
2024,Utah,Legislature,Approved,Amendment B,Increase the limit on annual distributions from the State School Fund for public education from 4% t,Approved
